Roll Number,schoolName,Principal Name,Ethos Description,Female,Male,Total,latitude,longitude,Type
16267G,ST PATRICKS BOYS NATIONAL SCHOOL,Brian Horan,Catholic,0,394.0,394,53.490482799999995,-6.0194479638825715,Primary School
16332O,ST PATRICKS SNR MIXED,Michelle Keane,Catholic,182,168.0,350,53.5780984,-6.1108972,Primary School
16333Q,ST PATRICKS JNR MIXED,Máire Ní Chroínín,Catholic,185,163.0,348,53.5780984,-6.1108972,Primary School
16352U,ST BRIGIDS BOYS N S,Fiona Griffin,Catholic,0,484.0,484,53.2693283,-6.1697344,Primary School
16353W,ST BRIGIDS GIRLS N S,Aedeen Sweeney,Catholic,536,0.0,536,53.2641001,-6.163265580739891,Primary School
16461C,CAISLEAIN NUA LIAMHNA,Jonathan Loftus,Catholic,287,295.0,582,53.2997872,-6.5054517,Primary School
16577V,ST BRIGIDS CONVENT,Darina Burke,Catholic,469,0.0,469,53.372448,-6.2832443,Primary School
16629O,KILTERNAN CHURCH OF IRELAND NS,Gráinne Dunbar,Church Of Ireland,104,107.0,211,53.2305944,-6.193864529389614,Primary School
16651H,ST CLARES CONVENT N S,Maria Spring,Catholic,121,161.0,282,53.3223612,-6.2793714,Primary School
16659A,ST COLUMBAS CON G & I,Eileen Whelan,Catholic,392,0.0,392,53.37234705,-6.272079460031218,Primary School
16675V,SCOIL NAOMH LUCAIS,Vivienne Bourke,Catholic,301,299.0,600,53.4216881,-6.3745256,Primary School
16695E,SCOIL NA MBRATHAR BOYS SENIOR SCHOOL,Ruth Coghlan,Catholic,0,150.0,150,53.351310749999996,-6.277822532896467,Primary School
16753P,ST VINCENT DE PAULS GIRLS SENIOR SCHOOL,Patrick McElwain,Catholic,333,0.0,333,53.375255,-6.2482966,Primary School
16754R,ST VINCENTS CONVENT INF N S,Catherine Kennedy,Catholic,185,211.0,396,53.375255,-6.2482966,Primary School
16759E,S N MHUIRE NA MBRATHAR,Ben Dorney,Catholic,0,357.0,357,53.365317649999994,-6.23529766956664,Primary School
16786H,ST BRIGIDS PRIMARY SCHOOL,Deirdre Early,Catholic,188,75.0,263,53.3397592,-6.2775418,Primary School
16792C,ST BRIGIDS CONVENT N S,Lorna Diffley,Catholic,422,0.0,422,53.37550435,-6.196969012213396,Primary School
16794G,ST BRIGIDS N S,Dawn Galbraith,Church Of Ireland,48,53.0,101,53.2837905,-6.1942817,Primary School
16844S,SCOIL N. BREANDAN,Niall Mulvey,Catholic,110,95.0,205,53.54001445,-6.088638823759725,Primary School
16860Q,CORPUS CHRISTI N S,Aisling Downes,Catholic,439,0.0,439,53.3744205,-6.2567075,Primary School
16893I,S N NAOMH LORCAN,Damian Moran,Catholic,0,447.0,447,53.2845111,-6.2174487,Primary School
16964F,SCOIL MHUIRE OGH 1,Angela Mitchell,Catholic,146,90.0,236,53.3227915,-6.3199652,Primary School
16966J,SCOIL NAISIUNTA STRATFORD,Dr. Helen Heneghan,Jewish,47,46.0,93,53.3097709,-6.2736549,Primary School
16970A,ST MOLAGA SENIOR NS,Pauline Costello,Catholic,209,259.0,468,53.61991690000001,-6.199135660678213,Primary School
16972E,S N PEADAR AGUS POL N,Siobhan Whelan,Catholic,213,227.0,440,53.6095864,-6.1894254,Primary School
16983J,S N NAOMH CILLIN,Michelle O'Farrell,Catholic,12,26.0,38,53.329804800000005,-6.338919240165795,Primary School
16988T,CHRIST THE KING B N S,Clodagh Vahey,Catholic,0,108.0,108,53.3638007,-6.2860369,Primary School
16989V,CHRIST THE KING GIRLS SENIOR SCHOOL,Gemma Haughey,Catholic,99,0.0,99,53.3638007,-6.2860369,Primary School
17055T,S N NAOMH MHUIRE,Suzanne Olwill,Catholic,345,358.0,703,53.2915142,-6.4374932,Primary School
17083B,S N MUIRE GAN SMAL B,Mary O'Mahony,Catholic,172,168.0,340,53.3349764,-6.3275804,Primary School
17104G,ST FRANCIS JUNIOR NATIONAL SCHOOL,Aileen Plunkett,Catholic,93,107.0,200,53.4035066,-6.2041776,Primary School
17110B,NAOMH LORCAN O TUATHAIL SENIOR BOYS,Mark Candon,Catholic,0,65.0,65,1.0,1.0,Primary School
17148D,S N EOIN BAISDE GIRLS SENIOR,Anne McCarthy,Catholic,407,0.0,407,53.3646346,-6.2037734,Primary School
17210F,CLOCHAR LUGHAIDH CAILIN,Dolores Hanrahan,Catholic,252,199.0,451,53.322006599999995,-6.250086933439544,Primary School
17211H,CLOCHAR LUGHAIDH NAOIDH,Dr Ann Noelle Bennett,Catholic,152,143.0,295,53.322006599999995,-6.250086933439544,Primary School
17214N,St. Vincent's Primary School,Edward Sewell,Catholic,0,283.0,283,53.37948,-6.266226,Primary School
17263D,S N MUIRE AN SEAN BAILE,Jane Kirwan,Catholic,28,34.0,62,53.5240077,-6.3151517,Primary School
17318C,SCOIL AN LEINBH IOSA BOYS SENIORS,Cathy Timmons,Catholic,0,281.0,281,53.3856261,-6.2496629,Primary School
17355I,MUIRE NA DEA COIRLE GIRLS SENIOR,Paul Ryan,Catholic,121,5.0,126,53.32483445,-6.332903870239308,Primary School
17356K,MUIRE NA DEA COIRLE INF,Caoimhe Warren,Catholic,85,91.0,176,53.32483445,-6.332903870239308,Primary School
17367P,"MARY, HELP OF CHRISTIANS G.N.S.",Renee Moran,Catholic,435,0.0,435,53.3638234,-6.3049246,Primary School
17459U,CHRIST THE KING I G,Maeve MacMahon,Catholic,55,0.0,55,53.3638007,-6.2860369,Primary School
17464N,"FIONNBARRA NAOFA B.N.S.,",Maeve Daly,Catholic,0,139.0,139,53.3686465,-6.2956745,Primary School
17465P,DOMINICAN CONVENT GIRLS SENIOR SCHOOL,CYNTHIA O REILLY,Catholic,197,0.0,197,53.3654907,-6.3010248,Primary School
17466R,ST CATHERINES INFANT SCHOOL,Eóin Browne,Catholic,91,45.0,136,53.3654907,-6.3010248,Primary School
17470I,ST RAPHAELAS N S,Laura Corry,Catholic,444,0.0,444,53.2797694,-6.2107432,Primary School
17472M,BAILE FALBACH,Annemarie Sharkey,Catholic,39,40.0,79,53.54958,-6.2029866991387905,Primary School
17507F,S N PADRAIG NAOFA,Sibéal Quigley,Catholic,83,98.0,181,53.2347373,-6.2005155,Primary School
17559B,S N MHUIRE,Hugh Daly,Catholic,94,107.0,201,53.5602274,-6.3943506,Primary School
17569E,BLESSED OLIVER N S,Mairéad Murphy,Catholic,157,171.0,328,53.589127649999995,-6.18742914222244,Primary School
17595F,CILL COSCAIN,Paddy Christie,Catholic,55,65.0,120,53.4275485,-6.373713371660109,Primary School
17603B,SCOIL IOSAGAIN BOYS SENIOR,Aoife Wrynne,Catholic,0,68.0,68,53.326179350000004,-6.31890391520716,Primary School
17683C,MUIRE OG 2 LORETO CON,Denise Griffin,Catholic,123,95.0,218,53.3227915,-6.3199652,Primary School
17730I,S N NA LANAI GLASA,Cathy Atkin,Church Of Ireland,148,132.0,280,53.3652948,-6.1910062,Primary School
17732M,SCOIL CHIARAIN,Ciara Nic Airt,Catholic,0,133.0,133,53.37116255,-6.207326387597735,Primary School
17785K,SAN NIOCLAS MYRA,Breandan Ó Fathaigh,Catholic,101,110.0,211,53.4193258,-6.1767995,Primary School
17820J,BRIGHDE NAOFA,Ann Ryan,Catholic,192,169.0,361,53.4915937,-6.2988082,Primary School
17881G,SCOIL UI CHONAILL BOYS SENIORS,Michael Mc Hugh,Catholic,0,182.0,182,49.19612255,-123.1221805511052,Primary School
17891J,SCOIL MHUIRE,Úna O'Kelly,Catholic,220,0.0,220,53.3478416,-6.34582,Primary School
17893N,SANCTA MARIA C B S,Victoria McQuaid,Catholic,18,82.0,100,53.3335307,-6.267712646849304,Primary School
17899C,SCOIL CARMEL,Ursula Martin,Catholic,186,217.0,403,53.2747564,-6.3448845490090005,Primary School
17912O,S N EOIN BOSCO BUACH,Emmanuel Bourke,Catholic,0,449.0,449,53.3638234,-6.3049246,Primary School
17914S,ST OLIVER PLUNKETT,Claire O'Connor,Catholic,442,474.0,916,53.4508081,-6.1487673,Primary School
17928G,SN N SAILBHEASTAR NFA,Sharon Dunne,Catholic,198,212.0,410,53.4533419,-6.1755206,Primary School
17936F,SN EOIN BAISDE BOYS SENIOR SCHOOL,Conor Ryan,Catholic,0,331.0,331,53.3646346,-6.2037734,Primary School
17953F,S N BHAILE EAMONN,Philomena Cleary,Catholic,52,51.0,103,53.2807532,-6.2973821,Primary School
17954H,SCOIL CAOIMHIN NAOFA,Siobhan McDonagh,Catholic,161,295.0,456,53.295936749999996,-6.207279304582228,Primary School
17961E,S N LUSCA,Paul Comiskey,Catholic,240,217.0,457,53.5224667,-6.1712621,Primary School
17970F,OUR LADY OF MERCY CONVENT SCHOOL,Siobhán Hanly,Catholic,270,1,270,53.3048055,-6.2001931,Primary School
17976R,SCOIL ASSAIM BOYS SENIORS,Dr. Bernadette O'Donovan,Catholic,0,0.0,297,53.40793045,-6.208870286254072,Primary School
17977T,SCOIL AINE CONVENT SENIOR,Clodagh O'Gara,Catholic,363,0.0,363,53.3781915,-6.1788173,Primary School
17978V,NAISCOIL IDE,Clare Ring,Catholic,191,188.0,379,53.3781915,-6.1788173,Primary School
17979A,S N CNOC AINBHIL,Grainne McGowan,Catholic,474,0.0,474,53.2881172,-6.2029401,Primary School
17996A,GLEN NA SMOL N S,Mary McColgan,Catholic,44,43.0,87,53.2389356,-6.3619805,Primary School
18038B,ST MARGARETS N S,Grainne Noone,Catholic,43,52.0,95,53.42891975,-6.295676939777729,Primary School
18046A,SCOIL BRIDE B,Séamus Sullivan,Catholic,0,352.0,352,53.38484595,-6.376416963100404,Primary School
18047C,SCOIL BRIDE C,Anne McKeon,Catholic,367,0.0,367,53.38484595,-6.376416963100404,Primary School
18080A,SCOIL MHUIRE MXD,John Chambers,Catholic,219,217.0,436,53.3847206,-6.0668748,Primary School
18137D,SN NAOMH FEARGAL BOYS SENIOR,MARY FLYNN,Catholic,0,153.0,153,53.3864407,-6.305873184309119,Primary School
18170B,SN MUIRE NA FREASTOGALA GIRLS SEN,Jonathan Hanley,Catholic,243,0.0,243,1.0,1.0,Primary School
18173H,S N BRIOTAS,Cormac O'Farrell,Catholic,54,59.0,113,53.2360108,-6.4541965,Primary School
18205R,S N AN PHAROISTE,Amanda Hawes,Church Of Ireland,36,26.0,62,53.3886681,-6.2989328,Primary School
18282M,SN PAROISTE MAITIU NFA,Naomi Rousseau,Church Of Ireland,117,106.0,223,53.3367743,-6.2210982,Primary School
18323A,SCOIL LORCAIN B,John Moore,Catholic,0,379.0,379,53.3535359,-6.3683558,Primary School
18324C,SCOIL BRIDE C,Aideen O'Shea,Catholic,388,0.0,388,53.3522959,-6.3729723,Primary School
18360G,SCOIL BHREANDAIN,Siobhán Flynn,Catholic,0,157.0,157,53.3842213,-6.1948724,Primary School
18361I,SN CAITRIONA GIRLS,Imelda Whelan,Catholic,177,0.0,177,53.3907996,-6.2083048,Primary School
18362K,S N CAITRIONA NAIONAIN,Maria Dineen,Catholic,145,103.0,248,53.3907996,-6.2083048,Primary School
18386B,MARIST NATIONAL SCHOOL,Sr. Geraldine Campbell,Catholic,208,75.0,283,53.3272815,-6.292032,Primary School
18411U,ST MARYS SCHOOL,Shane Cadigan,Catholic,164,177.0,341,53.29438285,-6.347292487585155,Primary School
18412W,S N C NAOMH PADRAIG,Ciara Greene,Catholic,437,0.0,437,53.4935348,-6.1219237,Primary School
18451J,SCOIL LORCÁIN,Colmán Ó Drisceoil,Catholic,249,235.0,484,1.0,1.0,Primary School
18477E,SCOIL NA MBRATHAR,Fiona Collins,Catholic,0,155.0,155,53.3413456,-6.2732468,Primary School
18585H,SN BANRION NA NAINGEAL1,MAURICE SWEENEY,Catholic,0,167.0,167,53.3461172,-6.3610858,Primary School
18602E,SCOIL MHUIRE,Carol Burke Heneghan,Catholic,253,109.0,362,53.319316549999996,-6.398267829022819,Primary School
18623M,SCOIL NAISUNTA CHNUACHA,Sandra Moloney,Church Of Ireland,105,107.0,212,53.4506973,-6.156591,Primary School
18632N,S N EOIN BOSCO NAI BUAC,Karen Mc Goldrick,Catholic,0,196.0,196,53.3638234,-6.3049246,Primary School
18642Q,S N NAOMH EOIN,Michelle Sharkey,Church Of Ireland,43,50.0,93,53.322049500000006,-6.3953816013233595,Primary School
18646B,SPRINGDALE N S,Lesley Cahill,Church Of Ireland,121,121.0,242,53.3821435,-6.1782092,Primary School
18647D,S N SAN TREASA,Frances Mullin,Catholic,212,232.0,444,53.2953465,-6.2077634,Primary School
18655C,SCOIL NAOMH SEOSAMH,Niall Desmond,Catholic,0,414.0,414,53.3162036,-6.3961332,Primary School
18682F,ST CANICES B N S,Tim Walsh,Catholic,0,408.0,408,53.3871423,-6.2909762,Primary School
18683H,ST CANICES G N S,Dearbhla White,Catholic,486,0.0,486,53.39023665,-6.295749793207417,Primary School
18726W,S N SEOSAMH NA MBRATHAR,Kevin Gillen,Catholic,0,125.0,125,53.3729883,-6.2335114130770215,Primary School
18778S,S N NAOMH MOCHTA,Maria Farrell,Catholic,426,459.0,885,53.3764143,-6.4066979,Primary School
18806U,KILTERNAN N S 1,Brenda Carson,Catholic,136,184.0,320,53.24670645,-6.17500512517866,Primary School
18817C,S N BRIGHDE,Gráinne Dollard,Catholic,212,224.0,436,1.0,1.0,Primary School
18843D,BAINRION NA N-AINGAL 2,Seán O'Shea,Catholic,0,131.0,131,53.3461172,-6.3610858,Primary School
18886V,KILL-O'-THE-GRANGE NS,Hilary McBain,Church Of Ireland,102,115.0,217,53.278642899999994,-6.174399391837182,Primary School
18910P,BANTIARNA NA MBUANNA BOYS,Roisin Hickey,Catholic,0,200.0,200,53.405431199999995,-6.287181836150918,Primary School
18911R,BANTIARNA NA MBUANNA GIRLS,Lorna Greene,Catholic,202,0.0,202,53.4026209,-6.2649226,Primary School
18968A,ST MALACHYS B N S,Grainne Roche,Catholic,0,160.0,160,53.3736098,-6.176414152161042,Primary School
18969C,ST EITHNES SENIOR GIRLS NS,Cormac Henry,Catholic,87,0.0,87,53.3860315,-6.184782885848014,Primary School
18976W,S N CHOLMILLE B,Ciara Brangan,Catholic,0,407.0,407,53.4587239,-6.2201561,Primary School
18977B,S N CHOLMCILLE C,Karen Burke Logue,Catholic,435,0.0,435,53.4587239,-6.2201561,Primary School
19001G,BALLYBOGHILL N S,Maeve O'Doherty,Catholic,114,107.0,221,53.5205236,-6.2674973,Primary School
19006Q,EOIN BAISDE B SOIS,John O'Sullivan,Catholic,0,334.0,334,53.3646346,-6.2037734,Primary School
19007S,EOIN BAISDE C NAOIDH,Dearbhla O'Driscoll,Catholic,276,0.0,276,53.3646346,-6.2037734,Primary School
19015R,ST JOSEPHS G N S,Áine Fitzgerald,Catholic,169,0.0,169,53.3966516,-6.3130411,Primary School
19037E,ST MONICAS N S,Sinead Mullen,Catholic,45,0.0,45,53.3736098,-6.176414152161042,Primary School
19066L,LORETO NATIONAL SCHOOL,Fióna McKenna,Catholic,273,79.0,352,53.279284950000005,-6.100010127076119,Primary School
19114T,ST PATRICK GNS,Anna Jennings,Catholic,438,124.0,562,53.2928324,-6.304147283917878,Primary School
19177U,ST PIUS X N S BOYS,Lorcan Coyle,Catholic,0,542.0,542,53.3114176,-6.3008084,Primary School
19178W,ST PIUS X G N S,Áine Doyle,Catholic,541,0.0,541,53.3114176,-6.3008084,Primary School
19197D,ST KEVINS B N S,Noleen Griffiths,Catholic,0,169.0,169,53.3966516,-6.3130411,Primary School
19208F,HOLY SPIRIT B N S,Vivienne Bryan,Catholic,0,337.0,337,53.39451455,-6.262678894140985,Primary School
19209H,SN AN SPIORAID NAIOMH C,Emma Conroy,Catholic,308,0.0,308,53.39451455,-6.262678894140985,Primary School
19220S,SCOIL NAOMH IDE,Orla Ní Odhráin,Catholic,199,73.0,272,53.3158799,-6.3911271,Primary School
19221U,SCOIL NAOMH AINE,Karen McKevitt (Acting),Catholic,203,57.0,260,53.31794585,-6.439962969117648,Primary School
19242F,OUR LADY OF VICTORIES INFANT N S,Mary McDonnell,Catholic,115,118.0,233,53.4026209,-6.2649226,Primary School
19258U,SCOIL PADRAIG NAOFA B,Barry O'Donovan,Catholic,0,623.0,623,53.28313395,-6.175741264054812,Primary School
19259W,ST PATRICKS GNS,Bernadette Gunning,Catholic,568,0.0,568,53.2673453,-6.1776111,Primary School
19297H,CROMCASTLE GREEN B N S,Martin Stynes,Catholic,0,212.0,212,53.3939998,-6.219657,Primary School
19298J,SCOIL NAIS IDE CAILINI,Andrea Lynch,Catholic,145,0.0,145,53.3939998,-6.219657,Primary School
19302U,SN NA MAIGHDINE MUIRE B,John Clinton,Catholic,0,131.0,131,53.3950532,-6.2611695,Primary School
19303W,VIRGIN MARY GIRLS NATIONAL SCHOOL,Niamh Cuthbert,Catholic,166,0.0,166,53.3950532,-6.2611695,Primary School
19308J,ST BRIGIDS BOYS N S,Nuala Cullen,Catholic,0,350.0,350,53.3737898,-6.2000245,Primary School
19309L,SCOIL NEASAIN,Deirble Nic Conghamhna,Catholic,123,129.0,252,1.0,1.0,Primary School
19314E,SCOIL NA MAIGHDINE MHUIRE BOY,Colette Howlett (Acting Principal),Catholic,0,283.0,283,53.2756188,-6.2592542,Primary School
19319O,ST Olaf's National School,Ger Murphy,Catholic,229,280.0,509,53.2654994,-6.2419997,Primary School
19320W,OUR LADY OF GOOD COUNSEL BOYS N S,Neil Cadogan,Catholic,0,402.0,402,53.26843735,-6.1450320968220336,Primary School
19321B,OUR LADY GOOD COUNSEL GNS,Caroline Quinn,Catholic,436,10.0,446,53.264337600000005,-6.138596234064192,Primary School
19335M,SCOIL NA AINGEAL,Pádraig Ó Néill,Catholic,243,198.0,441,53.2930458,-6.1701413,Primary School
19374W,Our lady's Grove Primary School,Anne Kernan,Catholic,218,221.0,439,53.2929355,-6.2296866,Primary School
19390U,ST MARKS SEN NS,Richard Walsh,Catholic,272,257.0,529,53.29088165,-6.378069003041525,Primary School
19393D,MHUIRE IOSEF JUNIOR,Elizabeth Madigan,Catholic,210,199.0,409,53.389125,-6.1466584,Primary School
19395H,SCOIL MOBHI,Marcella Nic Niallaigh,Catholic,118,136.0,254,1.0,1.0,Primary School
19396J,NA MAIGHDINE MUIRE GIRL,Yvonne Lane,Catholic,297,0.0,297,53.278385400000005,-6.260530726748372,Primary School
19400U,SN GLEANN NA GCAORACH INÍON LÉINÍN,Sarah Honner,Church Of Ireland,110,122.0,232,53.2683292,-6.116122106535756,Primary School
19406J,HOLY TRINITY SEN N S,David Henry,Catholic,178,203.0,381,53.3913111,-6.1559459,Primary School
19430G,SCOIL AN TSEACHTAR LAOCH,Deirdre Ní Chonghaile,Catholic,101,96.0,197,1.0,1.0,Primary School
19431I,ST JOSEPHS JNR,Jennie McGee,Catholic,66,88.0,154,53.401056,-6.2707695,Primary School
19435Q,ST FRANCIS XAVIER J N S,Heidi Collins,Catholic,214,199.0,413,53.3815285,-6.3714239,Primary School
19437U,SCOIL NAITHI,Paula Ní Uigín,Catholic,114,123.0,237,1.0,1.0,Primary School
19438W,SCOIL COLMCILLE SENIOR,Aidan Boyle,Catholic,66,75.0,141,53.2555652,-6.157649022990354,Primary School
19446V,SCOIL MHUIRE BOYS,Edward O'Riordan,Catholic,0,444.0,444,53.2953171,-6.2825391,Primary School
19454U,DARNDALE NS JUNIOR,Margaret Hughes,Catholic,104,109.0,213,1.0,1.0,Primary School
19456B,ST CRONANS JUNIOR NATIONAL SCHOOL,Edel Moloney,Catholic,265,279.0,544,53.45746465,-6.224786336061918,Primary School
19462T,SCOIL MAELRUAIN JUNIOR,Mairéad Ryan,Catholic,184,227.0,411,53.28087725,-6.368266899909909,Primary School
19463V,SCOIL MAELRUAIN SENIOR,Caitriona Hogan,Catholic,207,237.0,444,53.28087725,-6.368266899909909,Primary School
19465C,ST KEVINS BOYS,James Murray,Catholic,0,334.0,334,53.307249999999996,-6.357364207542614,Primary School
19466E,ST KEVINS GIRLS,Miriam Dignam,Catholic,296,0.0,296,53.307249999999996,-6.357364207542614,Primary School
19470S,ST FRANCIS XAVIER SENIOR N S,Adrienne Darby,Catholic,147,213.0,360,53.3815285,-6.3714239,Primary School
19471U,ST PAULS JUNIOR NATIONAL SCHOOL,Elaine McNulty,Catholic,125,101.0,226,1.0,1.0,Primary School
19472W,ST MARKS JUNIOR MIXED,Deirdre Ní Bhroin,Catholic,245,261.0,506,53.29088165,-6.378069003041525,Primary School
19473B,SCOIL BHRIDE,Áine Dillon,Catholic,218,192.0,410,53.3913111,-6.1559459,Primary School
19474D,SCOIL COLMCILLE NAOFA,David Curtin,Catholic,379,409.0,788,53.2837759,-6.3183261,Primary School
19480V,ST PATRICKS,Jennifer McCormack,Church Of Ireland,14,20.0,34,53.3391947,-6.270540982056561,Primary School
