,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
65,07/01/2019,"38 Larkfield Heath, Clayfarm, Leopardstown",,Dublin,515418,No,Yes,New Dwelling house /Apartment,,-6.2041888,53.2599808,38,Larkfield Heath,,,County Dublin,
66,07/01/2019,"4 Dodderbrook Glade, Dodderbrook, Old Court Road",,Dublin,405286.34,No,Yes,New Dwelling house /Apartment,,-6.3415907,53.2700459,,Oldcourt Road,Oldcourt,,County Dublin,
67,07/01/2019,"40 GERALDSTOWN WOODS, SANTRY, DUBLIN 9",Dublin 9,Dublin,200000,No,No,Second-Hand Dwelling house /Apartment,,-6.2605654,53.4010239,,Santry Avenue,Santry Demesne,Dublin 9,County Dublin,
68,07/01/2019,"43 ELDERWOOD ROAD, PALMERSTOWN, DUBLIN 20",Dublin 20,Dublin,320000,No,No,Second-Hand Dwelling house /Apartment,,-6.3826653,53.3538553,43,Elderwood Road,Woodfarm,Dublin 20,County Dublin,D20 KR82
69,07/01/2019,"45 ELY VIEW, OLD COURT, TALLAGHT DUBLIN 24",Dublin 24,Dublin,332500,No,No,Second-Hand Dwelling house /Apartment,,-6.3490486,53.269727,45,Ely View,Oldcourt,Dublin 24,County Dublin,D24 KX9D
70,07/01/2019,"55 DRUMFIN ROAD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,250000,No,No,Second-Hand Dwelling house /Apartment,,-6.3601291,53.3443178,55,Drumfinn Road,Drumfinn,Dublin 10,County Dublin,D10 TW31
71,07/01/2019,"56 DEERHAVEN AVE, CLONEE, DUBLIN 15",Dublin 15,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,,-6.4179111,53.4025751,56,Deerhaven Avenue,Huntstown,,County Dublin,D15 E2K3
72,07/01/2019,"57 DEAN SWIFT RD, GLASNEVIN, DUBLIN 11",Dublin 11,Dublin,360000,No,No,Second-Hand Dwelling house /Apartment,,-6.2697133,53.3847252,57,Dean Swift Road,Glasnevin,Dublin 11,County Dublin,D11 X6C1
73,07/01/2019,"7 MOUNT ROCHFORD AVE, FLEMINGTON LANE, BALBRIGGAN",,Dublin,246000,No,No,Second-Hand Dwelling house /Apartment,,-6.1988539,53.6179576,7,Mount Rochford Avenue,Bremore,,County Dublin,K32 PT97
74,07/01/2019,"88 FOXFIELD RD, RAHENY, DUBLIN 5",Dublin 5,Dublin,577500,No,No,Second-Hand Dwelling house /Apartment,,-6.1682837,53.3834189,88,Foxfield Road,Donaghmede,Dublin 5,County Dublin,D05 CP77
75,07/01/2019,"9 EDEN PARK RD, GOATSTOWN, DUBLIN 14",Dublin 14,Dublin,670000,No,No,Second-Hand Dwelling house /Apartment,,-6.2278033,53.2888178,9,Eden Park Road,Kilmacud,Dublin 14,County Dublin,D14 DX28
76,07/01/2019,"GLENROSS, KELLYSTOWN ROAD, SANDYFORD",,Dublin,245000,No,No,Second-Hand Dwelling house /Apartment,,-6.2556399,53.2578148,,Kellystown Road,Stackstown,Dublin 18,County Dublin,
77,07/01/2019,"LISHEEN, DUNDRUM RD, DUNDRUM DUBLIN 14",Dublin 14,Dublin,485000,No,No,Second-Hand Dwelling house /Apartment,,-6.2430692,53.2932922,,Taney Park,,Dublin 14,County Dublin,
78,08/01/2019,"11 HOLYWELL HEIGHTS, SWORDS, DUBLIN",,Dublin,264500,No,No,Second-Hand Dwelling house /Apartment,,-6.2113515,53.4420273,11,Holywell Heights,,,County Dublin,K67 PW44
79,08/01/2019,"13 CHANDLERS GUILD, JAMESS ST, DUBLIN 8",Dublin 8,Dublin,202000,No,No,Second-Hand Dwelling house /Apartment,,-6.2941064,53.3425322,169-171,James Street,Saint James' (part of Phoenix Park),Dublin 8,County Dublin,
80,08/01/2019,"13 HOMELAWN AVE, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,270000,No,No,Second-Hand Dwelling house /Apartment,,-6.3497933,53.2842239,13,Homelawn Avenue,Oldbawn,Dublin 24,County Dublin,D24 E6XP
81,08/01/2019,"14 Dodderbrook Walk, Dodderbrook  Oldcourt road, Ballycullen",,Dublin,350220,No,Yes,New Dwelling house /Apartment,,-6.3415907,53.2700459,,Oldcourt Road,Oldcourt,,County Dublin,
82,08/01/2019,"17 BELFRY DR, CITYWEST DUBLIN 24, DUBLIN",Dublin 24,Dublin,235000,No,No,Second-Hand Dwelling house /Apartment,,-6.4126871,53.2760511,17,Belfry Drive,,,County Dublin,D24 PW56
83,08/01/2019,"174 TRIMBLESTON, GOATSTOWN RD, DUBLIN 14",Dublin 14,Dublin,800000,No,No,Second-Hand Dwelling house /Apartment,,-6.2339208,53.2975483,,Goatstown Road,,,County Dublin,
84,08/01/2019,"23 EDEN VILLAS, GLASTHULE, DUBLIN",,Dublin,525000,No,No,Second-Hand Dwelling house /Apartment,,-6.1259798,53.2840047,23,Eden Villas,,,County Dublin,A96 XT10
85,08/01/2019,"24 SYCAMORE RD, DUNDRUM, DUBLIN 16",Dublin 16,Dublin,585000,No,No,Second-Hand Dwelling house /Apartment,,-6.252808,53.2845732,24,Sycamore Road,Dundrum,Dublin 16,County Dublin,D16 W959
86,08/01/2019,"278 MOURNE RD, DRIMNAGH, DUBLIN CITY",Dublin 12,Dublin,400000,No,No,Second-Hand Dwelling house /Apartment,,-6.3182127,53.3319798,278,Mourne Road,,,County Dublin,D12 HF83
87,08/01/2019,"28 MAIN ST, HOWTH, DUBLIN",Dublin 13,Dublin,675000,No,No,Second-Hand Dwelling house /Apartment,,-6.0655978,53.3839005,28,Main Street,,,County Dublin,D13 A3V7
88,08/01/2019,"3 Elder Heath Green, Elder Heath, Kiltipper Road",,Dublin,268722,No,Yes,New Dwelling house /Apartment,,-6.3829578,53.2717889,3,Elder Heath Green,Kiltipper,,County Dublin,
89,08/01/2019,"30 LANESBOROUGH DR ST MARGARETS, DUBLIN 11, DUBLIN",Dublin 15,Dublin,262000,No,No,Second-Hand Dwelling house /Apartment,,-6.2927495,53.4048182,30,Lanesborough Drive,Meakstown,Dublin 11,County Dublin,D11 CC85
90,08/01/2019,"33 HAMPTON, SANTRY CROSS, BALLYMUN DUBLIN 9",Dublin 11,Dublin,130000,No,No,Second-Hand Dwelling house /Apartment,,-6.2649419,53.4008288,,,Ballymun,,County Dublin,
91,08/01/2019,"4 ANNADALE CRESENT, MARINO, DUBLIN 9",Dublin 9,Dublin,385000,No,No,Second-Hand Dwelling house /Apartment,,-6.2397008,53.370225,4,Annadale Crescent,Ballybough,Dublin 9,County Dublin,D09 X0V1
92,08/01/2019,"48 Larkfield Heath, Clay Farm, Stillorgan",,Dublin,502202.64,No,Yes,New Dwelling house /Apartment,,-6.2071238,53.2593264,,,,,,
93,08/01/2019,"5 Dodderbrook Glade, Ballycullen, Dublin 24",,Dublin,405286.34,No,Yes,New Dwelling house /Apartment,,-6.3417416,53.2691848,5,Dodderbrook Avenue,Oldcourt,,County Dublin,D24 R5XT
94,08/01/2019,"54 PEMBROKE COTTAGES, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,412500,No,No,Second-Hand Dwelling house /Apartment,,-6.235641,53.323404,54,Pembroke Cottages,,Dublin 4,County Dublin,D04 V4X2
95,08/01/2019,"57 Adamstown Park, St. Helen's, Adamstown",,Dublin,308370.04,No,Yes,New Dwelling house /Apartment,,-6.4644577,53.3412706,57,Adamstown Park,Finnstown,,County Dublin,
96,08/01/2019,"6 BELARMINE PARK, ENNISKERRY RD, STEPASIDE DUBLIN 18",Dublin 18,Dublin,825000,No,No,Second-Hand Dwelling house /Apartment,,-6.2197843,53.2585082,6,Belarmine Avenue,Kilgobbin,Dublin 18,County Dublin,D18 K284
97,08/01/2019,"67 COWPER RD, RATHMINES, DUBLIN 6",Dublin 6,Dublin,1115000,No,No,Second-Hand Dwelling house /Apartment,,-6.2627823,53.3153942,67,Cowper Road,Rathmines,Dublin 6,County Dublin,D06 W5W8
98,08/01/2019,"7 Stanford Park, Westminster Road, Foxrock",Dublin 18,Dublin,1004406,No,Yes,New Dwelling house /Apartment,,-6.1732899,53.271356,,Westminster Road,Deansgrange,Dublin 18,County Dublin,
99,09/01/2019,"1 ALBERT RD LOWER, SANDYCOVE, DUBLIN",,Dublin,836000,No,No,Second-Hand Dwelling house /Apartment,,-6.1191711,53.2854966,1,Albert Road Lower,,,County Dublin,A96 H9N1
100,09/01/2019,"1 CASTLEBYRNE PARK, BLACKROCK, DUBLIN",,Dublin,435000,No,No,Second-Hand Dwelling house /Apartment,,-6.1727789,53.2909997,1,Castlebyrne Park,Newtown Castlebyrn,,County Dublin,A94 X772
101,09/01/2019,"11 St. Helen's Walk, St. Helen's, Adamstown",,Dublin,330396,No,Yes,New Dwelling house /Apartment,,-6.4652249,53.3417823,11,Saint Helen's Walk,Finnstown,,County Dublin,
102,09/01/2019,"12 COMYN MANOR, SEATOWN ROAD, SWORDS",,Dublin,418502,No,Yes,New Dwelling house /Apartment,,-6.2139238,53.4612057,,Seatown Road,Mantua,,County Dublin,
103,09/01/2019,"12 ST BRIGIDS COTTAGES, CLONDALKIN, DUBLIN",Dublin 22,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,,-6.3791557,53.3170713,12,Saint Brigid's Cottages,Bushelloaf,Dublin 22,County Dublin,D22 VX77
104,09/01/2019,"13 MAYSTON SQUARE, ST MARGARETS, DUBLIN 11",Dublin 11,Dublin,180000,No,No,Second-Hand Dwelling house /Apartment,,-6.2891478,53.4066406,13,Mayeston Drive,,Dublin 11,County Dublin,D11 A623
105,09/01/2019,"15 Beresford Crescent, Donabate",,Dublin,378854,No,Yes,New Dwelling house /Apartment,,-6.1605807,53.4924486,15,Beresford Crescent,Beaverstown,,County Dublin,
106,09/01/2019,"15 COMYN MANOR, SEATOWN ROAD, SWORDS",,Dublin,418502,No,Yes,New Dwelling house /Apartment,,-6.2139238,53.4612057,,Seatown Road,Mantua,,County Dublin,
107,09/01/2019,"152 WATERVILLE TERRACE, BLANCHARDSTOWN DUBLIN 15, DUBLIN",Dublin 15,Dublin,270000,No,No,Second-Hand Dwelling house /Apartment,,-6.370167,53.3926095,152,Waterville Terrace,Deanestown,,County Dublin,
108,09/01/2019,"155 BALLYFERMOT RD, BALLYFERMOT, DUBLIN",Dublin 10,Dublin,195000,Yes,No,Second-Hand Dwelling house /Apartment,,-6.3461205,53.3423113,155,Ballyfermot Road,Decies,Dublin 10,County Dublin,D10 KN52
109,09/01/2019,"19 SILVERWOOD ROAD, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,520000,No,No,Second-Hand Dwelling house /Apartment,,-6.2996548,53.2920902,19,Silverwood Road,,,County Dublin,D14 W1X9
110,09/01/2019,"2 BEAUMONT HALL, BEAUMONT, DUBLIN 9",Dublin 9,Dublin,235000,No,No,Second-Hand Dwelling house /Apartment,,-6.2291862,53.3863404,,,,Dublin 9,County Dublin,
111,09/01/2019,"22 OFFINGTON AVENUE, SUTTON, DUBLIN 13",Dublin 13,Dublin,745000,No,No,Second-Hand Dwelling house /Apartment,,-6.0949736,53.3876345,22,Offington Avenue,Howth Demesne,Dublin 13,County Dublin,D13 V6K3
112,09/01/2019,"26 Beechwood Heath, Beechwood, Hansfield",Dublin 15,Dublin,281938.32,No,Yes,New Dwelling house /Apartment,,-6.4485288,53.3916408,26,Beechwood Heath Road,Hansfield,,County Dublin,
113,09/01/2019,"26 PARKLANDS, CASTLESIDE, RATHFARNHAM",Dublin 14,Dublin,205000,No,No,Second-Hand Dwelling house /Apartment,,-6.2810865,53.2989788,,,Rathfarnham,,County Dublin,
114,09/01/2019,"3 THE KILNS, STATION RD, PORTMARNOCK",Dublin 13,Dublin,580000,No,No,Second-Hand Dwelling house /Apartment,,-6.1504667,53.4184775,3,Station Road,Portmarnock,,County Dublin,D13 E022
115,09/01/2019,"30 Rathborne Square, RATHBORNE, ASHTOWN",,Dublin,321585.9,No,Yes,New Dwelling house /Apartment,,-6.3204905,53.3775152,30,Rathborne Square,,,County Dublin,
116,09/01/2019,"32 Beechwood Heath, Beechwood, Hansfield",Dublin 15,Dublin,281938.32,No,Yes,New Dwelling house /Apartment,,-6.4472004,53.3930144,,Beechwood Gate,Hansfield,,County Dublin,
117,09/01/2019,"32 Parkside Gardens, Balgriffin, Dublin 13",Dublin 13,Dublin,290748,No,Yes,New Dwelling house /Apartment,,-6.1637014,53.4080718,32,Parkside Boulevard,Donaghmede,,County Dublin,
118,09/01/2019,"4 Lad Lane, 4 Fitzwilliam Place, Dublin 2",Dublin 2,Dublin,1250000,No,No,Second-Hand Dwelling house /Apartment,,-6.2508462,53.3339291,4,Lad Lane,,,County Dublin,D02 DW22
