Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Local Authority,Eircode,Principal Name,Email,Phone,DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Fee Paying School (Y/N),Pupil Attendance Type,School Gender - Post Primary,Irish Classification - Post Primary,Post Primary School Type,Ethos/Religion,FEMALE,MALE,TOTAL (2019-20)
60291D,Árdscoil La Salle,Raheny Road,Raheny,Dublin 5,,Dublin,Dublin City Council,D05Y132,MR. COLM MYTHEN,secretary@ardscoillasalle.ie,18480055,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,72,94,166
60300B,Manor House School,Watermill Road,Raheny,Dublin 5,,Dublin,Dublin City Council,D05R827,MISS MARY T O'NEILL,deputyprincipal@manorhouseschool.com,18316782,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,688,0,688
60310E,De La Salle College,Upper Churchtown Road,Churchtown,Dublin 14,,Dublin,Dun Laoghaire Rathdown,D14A0T9,MISS SIOBHAN FOSTER,office@delasallecollege.com,12981067,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,320,320
60320H,St Columba's College,Whitechurch,Dublin 16,,,Dublin,South Dublin County Council,D16CH92,MARK TREMAYNE BOOBBYER,admin@stcolumbas.ie,14906791,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,149,184,333
60321J,Rockbrook Park School,Edmondstown Road,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,D16P897,MR. MARK HAMILTON,admin@rockbrook.ie,14933204,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,163,163
60340N,Loreto High School,Beaufort,Grange Rd,Rathfarnham,Dublin 14,Dublin,South Dublin County Council,D14E521,MS. AOIFE KAVANAGH,info@loretohighschool.com,14933251,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,660,0,660
60341P,Sancta Maria College,Ballyroan Crescent,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,D16V389,MISS GERALDINE KENNEDY,info@sanctamariacollege.com,14934887,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,549,0,549
60342R,Coláiste Éanna,Hillside Park,Ballyroan Road,Rathfarnham,Dublin 16,Dublin,South Dublin County Council,D16E248,MR. SEAN G. O'MURCHU,secretary@colaisteeanna.ie,14931767,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,601,601
60343T,St Joseph's Secondary School,Convent Lane,Rush,Co. Dublin,,Dublin,Fingal County Council,K56A308,MRS. PATRICIA HAYDEN,office@stjosephsrush.ie,18437534,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,348,445,793
60361V,St Raphaela's Secondary School,St. Raphaela's Road,Stillorgan,Blackrock,Co. Dublin,Dublin,Dun Laoghaire Rathdown,A94NT29,Eileen O' Donnell,secretary@straphaelas.ie,12888730,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,569,0,569
60370W,St. Fintan's High School,Dublin Road,Sutton,Dublin 13,,Dublin,Fingal County Council,D13HN59,MISS MARY FOX,info@stfintanshs.ie,18324632,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,704,704
60380C,Santa Sabina Dominican College,Greenfield Road,Sutton,Dublin 13,,Dublin,Fingal County Council,D13RD80,MS. JOYCE KAVANAGH,admin@santasabina.ie,18322200,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,669,0,669
60381E,Sutton Park School,St Fintans Road,Sutton,Dublin 13,,Dublin,Fingal County Council,D13PY92,MR. RONAN WALSH,info@sps.ie,18322940,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,172,199,371
60383I,Coláiste Choilm,Dublin Road,Swords,Co Dublin,,Dublin,Fingal County Council,K67KW30,MR. CATHAL FRANCIS BOYLE,info@colaistechoilmswords.ie,18401420,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,550,550
60390F,St Josephs C.B.S.,Merville Ave,Fairview,Dublin 3,,Dublin,Dublin City Council,D03H524,Mr Gerard Cullen,info@stjosephsfairview.ie,18339779,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,0,258,258
60400F,St Vincents C.B.S. Glasnevin,Finglas Road,Glasnevin,Dublin 11,,Dublin,Dublin City Council,D11XV05,MR. JOHN G HORAN,mq@stvincentsd11.ie,18304375,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,362,362
60410I,C.B.S. James Street,James's Street,Dublin 8,,,Dublin,Dublin City Council,D08K338,MR. PAUL N MAC ENTEE,jamesstcbs123@outlook.ie,14547756,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,50,102,152
60420L,Árdscoil Rís,Griffith Avenue,Marino,Dublin 9,,Dublin,Dublin City Council,D09AK30,MR. MARK NEVILLE,admin@ardscoilris.com,18332633,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,541,541
60430O,St Pauls C.B.S.,Christian Brothers,Nth Brunswick Street,Dublin 7,,Dublin,Dublin City Council,D07VF57,MR. PATRICK MCCORMACK,principal@thebrunner.ie,18720781,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,213,213
60440R,O'Connell School,North Richmond Street,Dublin 1,,,Dublin,Dublin City Council,D01Y4A9,MR. LIAM NEWELL,secretary@oconnellschool.ie,18748307,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,0,206,206
60450U,Coláiste Mhuire,Bothar Rath Tó,Cabrach,Baile Átha Cliath 7,,Dublin,Dublin City Council,D07CY97,MR. OISIN MAC EOIN,runai@colaistemhuire.ie,18688996,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Secondary,CATHOLIC,147,137,284
60470D,"Christian Brothers, Synge St.",Synge Street CBS Secondary School,Synge Street,Dublin 8,Dublin,Dublin,Dublin City Council,D08R283,MS. CLARE CATTERSON,Office@syngestreet.com,14783998,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,263,263
60471F,St. David's C.B.S.,Artane,Dublin 5,,,Dublin,Dublin City Council,D05W667,MR. PADRAIC KAVANAGH,info@stdavidscbs.ie,18315322,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,508,508
60480G,Meanscoil Iognáid Rís,Long Mile Road,Walkinstown,Dublin 12,,Dublin,Dublin City Council,D12K682,MR. JOHN J DEVILLY,info@drimnaghcastle.ie,14518316,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,579,579
60481I,St. Aidan's C.B.S.,Collins Avenue Ext,Whitehall,Dublin 9,,Dublin,Dublin City Council,D09XT54,MR. THOMAS SHANNON,secretary@staidanscbs.ie,18377587,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,721,721
60490J,C.B.S. Westland Row,Westland Row,Dublin 2,,,Dublin,Dublin City Council,D02YX80,MS. KATE BYRNE,info@cbswestlandrow.ie,16614143,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,56,79,135
60491L,St Declan's College,Nephin Road,Cabra,Dublin 7,,Dublin,Dublin City Council,D07NN63,MR. BRIAN AVERY,info@stdeclanscollege.ie,18380357,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,651,651
60500J,Marian College,Ballsbridge,Dublin 4,,,Dublin,Dublin City Council,D04W268,MISS OONAGH CELINE MC CAUL,omccaul@mariancollege.ie,16684036,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,0,345,345
60510M,St Johns College De La Salle,Le Fanu Rd,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,D10X592,MS. ANN MARIE LEONARD,info@stjohnsdls.ie,16264943,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,282,282
60511O,Beneavin De La Salle College,Beneavin Road,Finglas,Dublin,,Dublin,Dublin City Council,D11NH7E,MS. AIDEEN CASSIDY,beneavinprincipal@gmail.com,18341410,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,509,509
60520P,Belvedere College S.J,6 Great Denmark Street,Dublin 1,,,Dublin,Dublin City Council,D01TK25,MR. GERRY FOLEY,dreddy@belvederecollege.ie,18586600,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,"1,000","1,000"
60530S,Gonzaga College,Sandford Road,Ranelagh,Dublin,,Dublin,Dublin City Council,D06KF95,MR. DAMON MCCAUL,headmaster@gonzaga.ie,14972931,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,555,555
60540V,Catholic University School,89 Lower Leeson Street,Dublin 2,,,Dublin,Dublin City Council,D02KC81,MR. THOMAS BYRNE,office@cus.ie,17756800,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,510,510
60550B,Chanel College,Coolock Village,Malahide Road,Dublin 5,,Dublin,Dublin City Council,D05EY86,MR. DARA GILL,chaneloffice@chanelcollege.ie,18480655,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,569,569
60560E,St Marys College,73-79 Lower Rathmines Road,Dublin 6,,,Dublin,Dublin City Council,D06CH79,MR. DENIS MURPHY,Isabellekelly@stmarys.ie,14995700,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,429,429
60561G,St Michaels College,Ailesbury Road,Dublin 4,,,Dublin,South Dublin County Council,D04NC59,MR. T M KELLEHER,tkelleherl@stmichaelscollege.com,12189400,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,664,664
60562I,Templeogue College,Templeville Road,Dublin 6,,,Dublin,South Dublin County Council,D6WE622,MS. NIAMH QUINN,info@templeoguecollege.ie,14905788,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,678,678
60570H,Terenure College,Templeogue Road,Terenure,Dublin 6w,,Dublin,Dublin City Council,D6WDK72,FR. EANNA RISTEARD O HOBAIN,fr.eanna@terenurecollege.ie,14997000,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,688,688
60581M,St Kevins College,Ballygall Rd East,Finglas,Dublin 11,,Dublin,Dublin City Council,D11VF10,MS. SARAH BARRY,info@stkevinscollege.com,18371423,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,534,534
60590N,St Conleths College,28 Clyde Road,Ballsbridge,Dublin 4,,Dublin,Dublin City Council,D04FT98,MR. DONAL E O DULAING,odulaingd@stconleths.ie,16680022,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,73,211,284
60630W,St Kilian's Deutsche Schule,Roebuck Road,Clonskeagh,Dublin 14,,Dublin,Dun Laoghaire Rathdown,D14P7F2,MISS ALICE LYNCH,alice.lynch@kilians.com,12883323,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,INTER DENOMINATIONAL,181,222,403
60640C,Sandford Park School Ltd,Sandford Road,Ranelagh,Dublin 6,,Dublin,Dublin City Council,D06FN29,MISS EDITH ANN MARIE BYRNE,ebyrne@sandfordparkschool.ie,14971417,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,INTER DENOMINATIONAL,158,245,403
60650F,St Andrews College,Booterstown Ave,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94XN72,MS. JOAN KIRBY,information@st-andrews.ie,12882785,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,PRESBYTERIAN,508,483,991
60660I,St Patricks Cathedral Grammar School,St Patricks Close,Dublin 8,,,Dublin,Dublin City Council,D08WK19,MR. TIMOTHY GILL,principal@spcgs.ie,14543388,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,107,111,218
60670L,The High School,Danum,Zion Road,Rathgar,Dublin,Dublin,Dublin City Council,D06YR68,MR. ANDREW FORREST,office@highschool.ie,14922611,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,336,394,730
60690R,Dominican College,"204, Griffith Ave",Drumcondra,Dublin 9,,Dublin,Dublin City Council,D09A5X0,MISS OLIVE LAFFOY,admin@dominican-college.com,18376080,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,744,0,744
60700R,Scoil Chaitriona,Bóthar Mobhí,Glasnaíon,Ath Cliath 9,,Dublin,Dublin City Council,D09TW99,MS. CARMEL GRAY,oifig@scoilchaitriona.ie,18370762,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Secondary,CATHOLIC,253,217,470
60710U,Muckross Park College,Donnybrook,Dublin 4,,,Dublin,Dublin City Council,D04CF59,MISS ANNE MARIE MEE,ammee@muckrossparkcollege.com,14914033,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,707,0,707
60720A,Saint Dominic's Secondary School,Ballyfermot,Dublin 10,,,Dublin,Dublin City Council,D10RD29,MS. SARAH GREEN,MCosgrove@stdominicsballyfermot.com,16266493,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,295,0,295
60731F,St Dominics College,Cabra,Dublin 7,,,Dublin,Dublin City Council,D07NX47,MISS ANN.B. CAMERON,admin@stdominics.ie,18385282,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,800,0,800
60732H,Caritas College,Drumfinn Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,D10RR94,MISS SANDRA ANTOINETTE DOYLE,info@caritascollege.ie,16265927,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,188,0,188
60741I,St Michaels Secondary School,Wellmount Road,Finglas,Dublin 11,,Dublin,Dublin City Council,D11H521,MR. JOHN B BARRY,stmichaelshf11@gmail.com,18341767,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,623,0,623
60750J,Holy Faith Secondary School,1 Belgrove Road,Clontarf,Dublin 3,,Dublin,Dublin City Council,D03R528,MISS DEIRDRE GOGARTY,admin@holyfaithclontarf.com,18331507,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,645,0,645
60770P,St Mary's Secondary School,St. Mary's Secondary School,Holy Faith Convent,Glasnevin,Dublin 11,Dublin,Dublin City Council,D11X478,MISS BERNADETTE BOURKE,office@stmaryshfg.ie,18374413,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,811,0,811
60791A,St Marys Secondary School,Brookwood Meadow,Killester,Dublin 5,,Dublin,Dublin City Council,D05K588,MS. EVELYN MC LOUGHLIN,admin@hfk.ie,18310963,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,319,0,319
60792C,Presentation College,Presentation Secondary School,Clarence Mangan Road,Warrenmount,Dublin.8.,Dublin,Dublin City Council,D08W0X7,MS. GWENDOLEN BRENNAN,info@warrenmountss.ie,14547520,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,169,0,169
60800V,Loreto College,Crumlin Road,Dublin 12,,,Dublin,Dublin City Council,D12E196,MS. MARY ELLEN MURPHY,secretary@loretocrumlin.ie,14542380,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,400,0,400
60810B,Loreto College,Swords,Rivervalley,Swords Co Dublin,,Dublin,Fingal County Council,K67Y319,MR. PETER MCNAMARA,office@loretoswords.ie,18407025,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,629,0,629
60820E,Loreto College,53 St Stephens Green,Dublin 2,,,Dublin,Dublin City Council,D02XE79,MS. JACQUELINE DEMPSEY,info@loretothegreen.ie,16618179,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,562,0,562
60840K,Maryfield College,Glandore Road,Drumcondra,Dublin 9,,Dublin,Dublin City Council,D09AE64,MS. MAREE O ROURKE,admin@maryfieldcollege.ie,18373574,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,592,0,592
60841M,Rosary College,Armagh Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,D12R726,MS. JEAN DOYLE,rosarycollegeinfo@gmail.com,861618405,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,80,105,185
60843Q,St Josephs Secondary School,Stanhope Street, Manor Street,Dublin 7,,Dublin,Dublin City Council,D07YP03,MR. JOHN OBRIEN,info@stanhopesecondary.ie,16710419,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,191,0,191
60851P,Assumption Secondary School,Walkinstown,Dublin 12,,,Dublin,Dublin City Council,D12PK75,MS. SIOBHAIN HOEY,assumptionsecretary@hotmail.com,14507017,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,251,0,251
60853T,Mount Carmel Secondary School,King's Inns Street,Dublin 1,,,Dublin,Dublin City Council,D01W657,MR. GERARD CULLEN,info@mountcarmel.ie,18730958,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,400,0,400
60860Q,Our Ladys School,Templeogue Road,Terenure,Dublin 6W,,Dublin,South Dublin County Council,D6WKF44,MS. MARGUERITE GORBY,principal@olschool.ie,14903241,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,764,0,764
60870T,Our Lady Of Mercy College,Beaumont,Dublin 9,,,Dublin,Dublin City Council,D09V327,MS. ROSEMARY LYNCH,secretary@mercybeaumont.com,18371478,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,385,0,385
60871V,Mercy College Coolock,St Brendan's Drive,Malahide Road,Coolock,Dublin 5,Dublin,Dublin City Council,D05C958,MS. PATRICIA DWYER,info@mercycoolock.ie,18480888,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,427,0,427
60872A,Mercy Secondary School,Thomas Davis Street West,Inchicore,Dublin 8,,Dublin,Dublin City Council,D08Y4X0,MS. MICHELLE O' KELLY,info@mercyinchicore.ie,14531262,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,156,0,156
60890C,St Louis High School,Charleville Road,Rathmines,Dublin 6,Dubllin 6,Dublin,Dublin City Council,D06F860,MS. CLIONA MCDONOUGH,stlouishs.rathmines@gmail.com,14975458,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,679,0,679
60891E,Our Lady's Grove Secondary School,Our Lady's Grove,Goatstown Road,Dublin 14,,Dublin,Dun Laoghaire Rathdown,D14AK75,MR. COLM DOOLEY,office@olgrove.ie,12951913,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,304,0,304
60892G,The Teresian School,12 Stillorgan Road,Donnybrook,Dublin 4,,Dublin,Dublin City Council,D04E9X5,MISS DEIRDRE MARIE HICKEY,secretary@teresian.ie,12691376,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,198,0,198
60902G,St Pauls Secondary School,Greenhills,Dublin 12,,,Dublin,South Dublin County Council,D12E544,Majella Deasy,info@stpaulsg.ie,14505682,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,449,0,449
60910F,Alexandra College,Milltown,Dublin 6,,,Dublin,Dublin City Council,D06KX50,MRS. BARBARA ENNIS,info@alexandracollege.ie,14977571,N,N,N,Y,Mixed,Girls,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,589,0,589
