"Statistic","Year","Garda Station","Type of Offence","UNIT","VALUE"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Public order and other social code offences","Number","164"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","37"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","202"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Dangerous or negligent acts","Number","42"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","62"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Burglary and related offences","Number","123"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Theft and related offences","Number","624"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Fraud, deception and related offences","Number","33"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Controlled drug offences","Number","221"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Weapons and Explosives Offences","Number","69"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Damage to property and to the environment","Number","247"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Public order and other social code offences","Number","149"
"Recorded Crime Offences Under Reservation","2017","63201 Ballymun, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","49"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","68"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Dangerous or negligent acts","Number","32"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","6"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Burglary and related offences","Number","305"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Theft and related offences","Number","519"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Fraud, deception and related offences","Number","48"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Controlled drug offences","Number","50"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","2"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Damage to property and to the environment","Number","91"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Public order and other social code offences","Number","114"
"Recorded Crime Offences Under Reservation","2017","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","9"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","363"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Dangerous or negligent acts","Number","151"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Kidnapping and related offences","Number","5"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","103"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Burglary and related offences","Number","538"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Theft and related offences","Number","1917"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Fraud, deception and related offences","Number","165"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Controlled drug offences","Number","204"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Weapons and Explosives Offences","Number","69"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Damage to property and to the environment","Number","542"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Public order and other social code offences","Number","291"
"Recorded Crime Offences Under Reservation","2017","66101 Blanchardstown, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","857"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","171"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Dangerous or negligent acts","Number","34"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Robbery, extortion and hijacking offences","Number","53"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Burglary and related offences","Number","174"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Theft and related offences","Number","774"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Fraud, deception and related offences","Number","66"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Controlled drug offences","Number","113"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Weapons and Explosives Offences","Number","28"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Damage to property and to the environment","Number","309"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Public order and other social code offences","Number","238"
"Recorded Crime Offences Under Reservation","2017","62101 Bridewell Dublin, D.M.R. North Central Division","Offences against government, justice procedures and organisation of crime","Number","4904"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","86"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Dangerous or negligent acts","Number","29"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","7"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Burglary and related offences","Number","289"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Theft and related offences","Number","386"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Fraud, deception and related offences","Number","12"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Controlled drug offences","Number","43"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","7"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Damage to property and to the environment","Number","130"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Public order and other social code offences","Number","81"
"Recorded Crime Offences Under Reservation","2017","65201 Cabinteely, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","15"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","68"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Dangerous or negligent acts","Number","27"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","33"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Burglary and related offences","Number","81"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Theft and related offences","Number","532"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Fraud, deception and related offences","Number","26"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Controlled drug offences","Number","33"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Weapons and Explosives Offences","Number","5"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Damage to property and to the environment","Number","125"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Public order and other social code offences","Number","61"
"Recorded Crime Offences Under Reservation","2017","66102 Cabra, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","9"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","150"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Dangerous or negligent acts","Number","64"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","50"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Burglary and related offences","Number","207"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Theft and related offences","Number","792"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Fraud, deception and related offences","Number","63"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Controlled drug offences","Number","166"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Weapons and Explosives Offences","Number","27"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Damage to property and to the environment","Number","279"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Public order and other social code offences","Number","182"
"Recorded Crime Offences Under Reservation","2017","66202 Clondalkin, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","49"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","81"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Dangerous or negligent acts","Number","42"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","30"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Burglary and related offences","Number","243"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Theft and related offences","Number","660"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Fraud, deception and related offences","Number","26"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Controlled drug offences","Number","97"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Weapons and Explosives Offences","Number","14"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Damage to property and to the environment","Number","216"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Public order and other social code offences","Number","110"
"Recorded Crime Offences Under Reservation","2017","63401 Clontarf, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","18"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","164"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Dangerous or negligent acts","Number","48"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","60"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Burglary and related offences","Number","206"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Theft and related offences","Number","907"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Fraud, deception and related offences","Number","34"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Controlled drug offences","Number","258"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Weapons and Explosives Offences","Number","25"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Damage to property and to the environment","Number","308"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Public order and other social code offences","Number","126"
"Recorded Crime Offences Under Reservation","2017","63301 Coolock, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","80"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","80"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Dangerous or negligent acts","Number","15"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","16"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Burglary and related offences","Number","178"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Theft and related offences","Number","442"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Fraud, deception and related offences","Number","38"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Controlled drug offences","Number","87"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Weapons and Explosives Offences","Number","15"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Damage to property and to the environment","Number","155"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Public order and other social code offences","Number","67"
"Recorded Crime Offences Under Reservation","2017","64101 Crumlin, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","21"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","57"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Dangerous or negligent acts","Number","20"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","17"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Burglary and related offences","Number","236"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Theft and related offences","Number","580"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Fraud, deception and related offences","Number","47"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Controlled drug offences","Number","110"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Weapons and Explosives Offences","Number","11"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Damage to property and to the environment","Number","93"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Public order and other social code offences","Number","167"
"Recorded Crime Offences Under Reservation","2017","61101 Donnybrook, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","7"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","17"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Dangerous or negligent acts","Number","7"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Kidnapping and related offences","Number","7"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","2"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Burglary and related offences","Number","7"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Theft and related offences","Number","236"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Fraud, deception and related offences","Number","27"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Controlled drug offences","Number","42"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Weapons and Explosives Offences","Number","11"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Damage to property and to the environment","Number","11"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Public order and other social code offences","Number","90"
"Recorded Crime Offences Under Reservation","2017","63202 Dublin Airport, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","3"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","158"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Dangerous or negligent acts","Number","27"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","20"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Burglary and related offences","Number","428"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Theft and related offences","Number","787"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Fraud, deception and related offences","Number","45"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Controlled drug offences","Number","155"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","15"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Damage to property and to the environment","Number","176"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Public order and other social code offences","Number","198"
"Recorded Crime Offences Under Reservation","2017","65203 Dun Laoghaire, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","243"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","158"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Dangerous or negligent acts","Number","54"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","23"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Burglary and related offences","Number","537"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Theft and related offences","Number","1505"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Fraud, deception and related offences","Number","96"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Controlled drug offences","Number","104"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","10"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Damage to property and to the environment","Number","291"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Public order and other social code offences","Number","172"
"Recorded Crime Offences Under Reservation","2017","65102 Dundrum, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","27"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","206"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Dangerous or negligent acts","Number","63"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","87"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Burglary and related offences","Number","193"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Theft and related offences","Number","903"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Fraud, deception and related offences","Number","56"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Controlled drug offences","Number","291"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Weapons and Explosives Offences","Number","47"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Damage to property and to the environment","Number","375"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Public order and other social code offences","Number","193"
"Recorded Crime Offences Under Reservation","2017","66103 Finglas, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","59"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","134"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Dangerous or negligent acts","Number","38"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Robbery, extortion and hijacking offences","Number","43"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Burglary and related offences","Number","160"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Theft and related offences","Number","755"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Fraud, deception and related offences","Number","40"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Controlled drug offences","Number","177"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Weapons and Explosives Offences","Number","39"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Damage to property and to the environment","Number","247"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Public order and other social code offences","Number","195"
"Recorded Crime Offences Under Reservation","2017","62202 Fitzgibbon Street, D.M.R. North Central Division","Offences against government, justice procedures and organisation of crime","Number","26"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","7"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Dangerous or negligent acts","Number","2"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Burglary and related offences","Number","23"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Theft and related offences","Number","16"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Fraud, deception and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Controlled drug offences","Number","3"
